paket_numarasi,uydu_statusu,hata_kodu,gonderme_saat,basinc1,basinc2,yukseklik1,yukseklik2,irtifa_farki,inis_hizi,sicaklik,pil_gerilim,gps_latitude,gps_longitude,gps_altitude,pitch,yaw,roll,takim_no,video_aktarim_bilgisi
75,0,1/1/0/0/0,Time,92725,0,741.93,0,741.93,0.0,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
76,0,1/1/0/0/0,Time,92726,0,741.84,0,741.84,0.0899999999999181,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
77,0,1/1/0/0/0,Time,92727,0,741.75,0,741.75,0.0900000000000318,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
78,0,1/1/0/0/0,Time,92728,0,741.66,0,741.66,0.0900000000000318,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
79,0,1/0/0/0/0,Time,92725,0,741.93,0,741.93,-0.2699999999999818,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
80,0,1/0/0/0/0,Time,92722,0,742.2,0,742.2,-0.2700000000000955,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
81,0,1/1/0/0/0,Time,92725,0,741.93,0,741.93,0.2700000000000955,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
82,0,1/1/0/0/0,Time,92726,0,741.84,0,741.84,0.0899999999999181,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
83,0,1/0/0/0/0,Time,92721,0,742.29,0,742.29,-0.4499999999999318,18.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
84,0,1/1/0/0/0,Time,92729,0,741.57,0,741.57,0.7199999999999136,21.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
85,0,1/1/0/0/0,Time,92736,0,740.95,0,740.95,0.6200000000000045,23.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
86,0,1/0/0/0/0,Time,92733,0,741.22,0,741.22,-0.2699999999999818,24.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
87,0,1/0/0/0/0,Time,92729,0,741.57,0,741.57,-0.3500000000000227,24.4,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
88,0,1/1/0/0/0,Time,92731,0,741.4,0,741.4,0.1700000000000727,23.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
89,0,1/1/0/0/0,Time,92732,0,741.31,0,741.31,0.0900000000000318,23.0,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
90,0,1/0/0/0/0,Time,92730,0,741.49,0,741.49,-0.1800000000000636,22.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
91,0,1/1/0/0/0,Time,92730,0,741.49,0,741.49,0.0,22.1,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
1,0,1/0/0/0/0,Time,92721,0,742.29,0,742.29,-0.3600000000000136,17.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
1,0,1/0/0/0/0,Time,92733,0,741.22,0,741.22,-0.1800000000000636,16.8,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
1,0,1/0/0/0/0,Time,92728,0,741.66,0,741.66,-0.169999999999959,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
4,0,1/0/0/0/0,Time,92720,0,742.38,0,742.38,-0.2699999999999818,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
5,0,1/1/0/0/0,Time,92725,0,741.93,0,741.93,0.4500000000000455,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
6,0,1/0/0/0/0,Time,92722,0,742.2,0,742.2,-0.2700000000000955,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
7,0,1/1/0/0/0,Time,92725,0,741.93,0,741.93,0.2700000000000955,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
8,0,1/1/0/0/0,Time,92728,0,741.66,0,741.66,0.2699999999999818,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
9,0,1/0/0/0/0,Time,92722,0,742.2,0,742.2,-0.5400000000000773,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
10,0,1/1/0/0/0,Time,92724,0,742.02,0,742.02,0.1800000000000636,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
